Group	Block	Treatmnt	Yield
1	1	1	6
1	1	2	7
1	1	3	5
1	1	4	8
1	1	5	6
1	2	6	16
1	2	7	12
1	2	8	12
1	2	9	13
1	2	10	8
1	3	11	17
1	3	12	7
1	3	13	7
1	3	14	9
1	3	15	14
1	4	16	18
1	4	17	16
1	4	18	13
1	4	19	13
1	4	20	14
1	5	21	14
1	5	22	15
1	5	23	11
1	5	24	14
1	5	25	14
2	6	1	24
2	6	6	13
2	6	11	24
2	6	16	11
2	6	21	8
2	7	2	21
2	7	7	11
2	7	12	14
2	7	17	11
2	7	22	23
2	8	3	16
2	8	8	4
2	8	13	12
2	8	18	12
2	8	23	12
2	9	4	17
2	9	9	10
2	9	14	30
2	9	19	9
2	9	24	23
2	10	5	15
2	10	10	15
2	10	15	22
2	10	20	16
2	10	25	19

